state,women_pct,children_pct,geo_risk_score
Andhra Pradesh,58.8,63.2,0.4893617021276596
Arunachal Pradesh,34.1,39.4,0.08510638297872342
Assam,66.4,68.4,0.6137479541734863
Bihar,63.5,69.4,0.5662847790507366
Chhattisgarh,50.8,67.2,0.3584288052373159
Goa,37.8,41.5,0.1456628477905073
Gujarat,65.0,79.7,0.5908346972176759
Haryana,60.4,70.4,0.5155482815057283
Himachal Pradesh,53.6,55.4,0.4042553191489362
Jharkhand,65.3,67.5,0.5957446808510638
Karnataka,47.8,65.5,0.309328968903437
Kerala,36.3,39.4,0.1211129296235679
Madhya Pradesh,54.7,72.7,0.42225859247135855
Maharashtra,54.8,68.9,0.4238952536824877
Manipur,29.4,42.8,0.008183306055646489
Meghalaya,46.5,47.2,0.2880523731587562
Mizoram,34.8,46.4,0.09656301145662849
Nagaland,28.9,42.7,0.0
Odisha,64.3,64.2,0.5793780687397709
Punjab,58.7,71.6,0.48772504091653035
Rajasthan,54.7,71.5,0.42225859247135855
Sikkim,32.1,56.4,0.05237315875613746
Tamil Nadu,53.2,57.4,0.39770867430441903
Telangana,57.6,70.0,0.4697217675941081
Tripura,61.5,64.3,0.5335515548281506
Uttarakhand,42.6,58.8,0.22422258592471367
Uttar Pradesh,50.4,66.4,0.35188216039279874
West Bengal,71.4,69.0,0.695581014729951
Andaman & Nicobar Islands,55.0,60.0,0.42716857610474634
Chandigarh,58.0,65.0,0.4762684124386253
Dadra & Nagar Haveli and Daman & Diu,60.0,70.0,0.5090016366612111
Delhi,51.0,60.0,0.36170212765957455
Jammu & Kashmir,52.0,65.0,0.3780687397708675
Ladakh,90.0,92.0,1.0
Lakshadweep,40.0,45.0,0.1816693944353519
Puducherry,55.0,60.0,0.42716857610474634
